,,,,　　日本全国沿岸水温の記録（第14号）,,,,,,,,
愛知　（南知多）,,,,　　　     平成19年(2007)水温観測結果,,,,,,,,
,,,,前浜の水深７～８ｍの取水を測温：午前10時測定,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,12.6,10.8,11.2,13.2,16.8,18.3,23.4,23.7,24.6,24.7,21.1,16.4
２日,13,10.2,11.3,13.2,15.9,19.8,23,24.9,26.1,25.1,21.1,16
３日,12.9,9.9,11.7,13.2,15.9,20.1,23,25.1,25.8,25,19.6,15.8
４日,12.8,10.4,12.3,12.6,16.8,19.7,23.2,24.6,26.2,24.7,20,15.1
５日,12.8,10.3,14.1,12.5,16.7,19.7,22,25.5,26.5,25.1,20,14.2
６日,12.9,10.6,12.3,12.6,17.2,20.1,22.2,25.9,26.4,24.7,20.4,14.3
７日,11.3,11,11.5,13.4,16.5,20.3,22.4,26.9,25.2,24.4,20.2,14.9
８日,11.3,10.3,11.5,13.1,16.7,21.3,22.7,27.4,26.2,24.3,20.1,14.6
９日,11.2,11.1,11.2,13.5,17.5,20.9,23.7,27.4,26.8,24.6,20.5,14.5
１０日,11.6,11.2,11.6,13,19.1,20.9,22.9,26.8,26.2,24,20.2,14.6
１１日,11.3,10.9,12.2,13.8,17,21.4,23,27.2,25.6,23.8,20.2,15
１２日,11.4,10.9,11.1,13.5,16.3,22.2,23,26.7,25.4,24.1,19.5,14.5
１３日,10.9,11,10.9,14.6,17.5,22.4,23.1,26.9,25.7,24.2,18.6,15.4
１４日,10.5,11.3,11.3,14.6,17,22.8,23.1,26.3,25.6,24,19.1,14.9
１５日,10.7,10.7,11.5,14.4,17.9,21.3,22.6,26.8,26.1,23.5,19,13.7
１６日,11.4,10.1,11.4,14.8,16.9,21,22.1,26.2,26.4,23.3,18.6,13.4
１７日,11.9,10.4,11.3,14.4,17.5,22.1,23.2,26.6,26.4,23.6,18.2,13
１８日,11.6,11.2,10.9,14.3,17.3,22,23,26.1,26.3,22.9,18.4,13.3
１９日,11.4,11.3,11.2,14.3,17.4,21.7,22.9,27.6,27,21.8,17.4,13.1
２０日,11.1,12,11.1,14.6,17,22.9,23.5,27.1,26.9,21.8,17.8,13.4
２１日,11.4,12,11.2,15.5,17,23.1,23.6,27.6,27.3,21.5,17.5,13
２２日,11.6,11.8,11.6,15.8,18.2,23.6,23.3,27.5,27.4,21.4,17,13.5
２３日,10.6,12.1,12,15.7,19,22.4,23.6,27.3,27.5,21.6,16.8,13.9
２４日,10.7,11.3,12.1,14.9,19.2,23.7,23.5,27.9,27,21.8,16.6,14
２５日,10.4,11.1,12.2,15.3,20.3,23.4,24.8,27.5,26.5,21.9,16.8,13.6
２６日,10.4,10.7,12,15.3,18.7,23.9,24.6,27.2,25.8,22.1,16.8,13.2
２７日,10.7,10.9,11.9,15.2,19.9,23.5,24.2,27.3,26.1,22.3,16.5,13
２８日,10.4,11.1,12.2,15.7,17.6,23.8,25,27,25.9,21.4,16.5,13.2
２９日,11.3,,12.3,15.5,19.1,23.8,24.2,26,25.6,21.5,16.7,13.5
３０日,10.9,,13.1,16.2,19,22.9,24.2,26.2,24.7,21.4,16.8,13
３１日,11.4,,12.6,,18.5,,23.5,26.2,,21.2,,10.9
