,,,,     日本全国沿岸水温の記録（第26号）,,,,,,,,
愛知(南知多),,,,          令和元年(2019)水温観測結果,,,,,,,,
,,,,前浜の水深2～3mからの取水を測温：午前10時測定,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,12.6,10.1,10.8,12.3,15.3,20.1,23.1,,,25.1,21.9,16.7
２日,12.4,9.1,11.1,12.3,15.3,20.1,23.2,26.4,26.3,25.4,20.8,17.4
３日,11.5,9.3,10.9,12.5,15.4,20.5,23.1,,26.2,25.2,20.9,16.9
４日,11.8,10,11.2,12.4,15.8,20.7,23.3,,26.9,25,20.8,15.5
５日,11.9,10.1,11.1,12.8,17,20.9,23,27.8,,24.5,20.3,15.4
６日,12.1,10.2,11.3,12.9,16.7,20.9,22.8,27.6,26.6,24.2,19.7,16.2
７日,11.3,10.4,11.5,12.9,15.7,20.2,23,28,,24.4,20.1,15.3
８日,11.4,10.7,11.5,13.1,16.3,20,23,27.9,,24.2,20,15.1
９日,11.7,9.7,11.1,13,17.1,20.1,24,27.9,27,24.1,19.5,15.1
１０日,11.2,10.1,11.6,13.1,16.9,20.4,23.6,,27.4,23.8,19.8,15.6
１１日,11.2,10.2,11.5,12.5,17.7,20.2,23.2,,,24.3,20.6,15.7
１２日,11,9.9,11.2,12.9,17.7,20.3,23,,27.8,24.6,20,15.6
１３日,10.5,9.3,11.4,12.7,18.6,20.6,23.2,28.6,26.4,24,20.1,15.5
１４日,10.2,9.8,11,13.5,18,20.7,23.1,28.5,,24.3,20.1,15.3
１５日,10.8,9.9,10.8,13.7,18.2,20.8,23.3,27.6,,23.4,19.2,14.6
１６日,10.8,9.7,11.6,13.4,18.6,20.4,23.5,,,22.8,18.6,14.2
１７日,11.2,10,11.7,13.8,18.6,20.3,23.5,,25.7,22.7,18.9,14.8
１８日,11.2,9.8,11.4,13.8,19.1,20.4,23.6,,,22.9,18.9,15
１９日,10.9,10,11.8,14.4,18.4,20.8,23.8,28.6,,22.6,19,15.3
２０日,11.2,10.3,11.6,14.5,18.6,21.5,23.8,27.9,24.3,22.9,18.9,14.2
２１日,11,10.2,12.1,14.5,18.7,21.2,24.1,,24.8,22.5,17.8,14.4
２２日,10.7,9.9,12.3,14.9,18.4,21.8,24.1,28.2,24.4,21.9,17.4,14.4
２３日,10.7,10.1,11.9,15.1,18.8,21.5,24.3,28.1,24.6,22.1,18.9,14.3
２４日,11,9.8,11.1,15.6,19.7,22.1,24.5,,24.6,22.3,19.3,14.4
２５日,10.4,10.4,11.4,15.7,19.4,22.4,25.5,,24.5,21.7,19.3,14.1
２６日,10.4,11.2,11.9,15.9,20.2,22.6,26.9,27.3,24.8,22.2,18.4,14.2
２７日,10.1,10.1,11.7,15.5,20.3,22.1,25.8,27.4,25,22.4,18.5,13.9
２８日,10.2,10.6,12.1,14.4,20.7,22.4,25.4,27.4,24.9,22.2,17.9,13.1
２９日,10.2,,11.9,14.8,20.7,22.6,26.2,,24.8,22.2,16.9,12.8
３０日,10,,12.3,15.2,19.8,22.7,25.8,26.7,25,22.1,16.6,13.4
３１日,9.9,,12.6,,19.9,,25.6,,,21.7,,13.2
